,age,daily_active_minutes_instagram,self_reported_happiness
50468,40,210.0,10
82087,32,190.0,7
51396,58,136.0,7
78070,20,71.0,10
54729,38,166.0,6
64256,37,364.0,1
153349,46,5.0,7
119380,29,73.0,3
173477,14,148.0,4
178129,61,381.0,3
77869,36,343.0,8
57773,53,13.0,5
148807,16,287.0,6
48400,22,213.0,9
120426,43,257.0,6
181134,14,102.0,7
197264,38,385.0,1
17189,42,32.0,9
169934,18,413.0,1
187767,45,79.0,6
9916,36,380.0,7
157412,37,435.0,2
149674,22,395.0,3
179412,16,162.0,2
158148,59,197.0,9
175521,22,199.0,4
138438,53,283.0,8
171218,62,98.0,8
172340,43,171.0,8
130681,20,252.0,2
188233,63,5.0,4
38543,47,90.0,9
30877,42,35.0,10
109674,65,253.0,1
99934,42,187.0,10
152360,51,286.0,1
50919,43,21.0,10
50024,33,81.0,4
78538,52,294.0,3
151639,37,30.0,4
2910,16,211.0,1
85034,57,68.0,2
39161,59,87.0,3
191598,48,244.0,5
146970,13,278.0,8
139468,47,29.0,5
144777,35,283.0,3
25882,51,5.0,10
81050,57,5.0,7
29786,45,62.0,10
117316,52,296.0,3
156857,26,95.0,4
137939,34,309.0,5
147557,61,140.0,9
139875,38,120.0,2
151555,47,133.0,7
181595,17,384.0,1
57153,52,66.0,5
103126,29,203.0,7
149972,41,132.0,8
112524,14,438.0,6
176098,25,5.0,9
43470,62,397.0,2
59475,65,17.0,10
54792,26,209.0,8
87969,21,5.0,7
72482,33,218.0,10
29180,14,5.0,7
47527,32,5.0,5
145906,15,208.0,5
176833,31,65.0,9
83732,61,228.0,3
153489,64,60.0,5
133225,29,278.0,7
72555,62,5.0,9
70621,36,176.0,6
83704,31,222.0,5
60943,48,266.0,4
138551,40,32.0,5
11641,40,8.0,9
112220,18,224.0,4
108011,56,158.0,7
122817,25,114.0,9
136633,61,5.0,6
43252,56,197.0,6
170412,39,235.0,5
105288,35,19.0,9
149514,25,246.0,4
151022,35,5.0,7
158160,49,180.0,8
150834,23,189.0,10
25982,36,151.0,8
70419,34,379.0,5
35518,25,196.0,10
63670,23,27.0,10
151569,50,376.0,1
26133,28,330.0,8
4915,36,234.0,7
166462,24,216.0,7
41544,61,129.0,4
176303,14,179.0,10
76297,35,184.0,5
4919,45,139.0,3
25421,27,170.0,7
193627,39,185.0,2
115870,54,144.0,5
110237,31,299.0,2
21772,40,139.0,5
17309,34,316.0,1
15401,61,345.0,5
14538,63,18.0,9
80344,51,93.0,10
110381,36,180.0,7
173296,64,25.0,8
112847,14,169.0,7
187934,59,257.0,2
142790,38,13.0,3
107933,20,114.0,5
166805,31,293.0,6
140578,35,34.0,10
39391,33,29.0,9
48045,50,289.0,6
195167,40,204.0,4
106720,27,150.0,6
86735,41,231.0,7
90927,44,211.0,7
13495,46,377.0,4
139405,24,270.0,3
79446,34,38.0,8
96658,59,28.0,4
130456,52,118.0,6
60494,46,205.0,10
197034,53,32.0,8
118883,48,225.0,9
84626,60,241.0,1
69080,26,194.0,10
187573,25,102.0,10
154711,16,289.0,4
32453,23,199.0,9
34522,32,175.0,7
174719,41,269.0,7
14739,54,74.0,7
115374,24,188.0,5
24786,24,131.0,7
57698,64,285.0,8
10179,36,14.0,5
23545,16,85.0,10
149940,18,292.0,7
102888,44,306.0,4
21840,45,355.0,5
72816,27,361.0,6
117059,24,198.0,4
5392,53,212.0,5
126214,51,68.0,5
199767,31,155.0,6
175535,49,116.0,1
183243,21,385.0,10
62313,35,338.0,5
47617,36,227.0,9
169111,54,193.0,5
63712,23,188.0,3
156282,57,211.0,4
24662,20,52.0,9
78276,47,59.0,1
162853,61,5.0,8
186479,30,117.0,7
87595,57,304.0,5
120286,52,120.0,2
171769,32,284.0,3
82771,55,149.0,8
87805,27,323.0,4
123324,30,92.0,9
185443,16,344.0,3
148347,32,298.0,2
198107,17,283.0,10
47084,17,144.0,4
39665,62,245.0,10
115874,43,233.0,4
167777,57,313.0,6
178733,46,192.0,1
160290,59,264.0,3
82867,41,372.0,1
20088,21,262.0,7
63345,46,60.0,1
35730,24,169.0,2
5059,22,84.0,6
103863,20,341.0,5
144290,58,191.0,3
103703,38,156.0,9
173831,45,251.0,1
110402,53,334.0,3
28187,53,76.0,7
196708,51,106.0,10
93822,24,148.0,7
32029,57,125.0,3
156238,20,189.0,5
128688,29,5.0,8
192529,21,143.0,3
97393,38,154.0,9
86653,48,73.0,10
146404,46,83.0,10
81111,46,25.0,3
144963,23,261.0,7
31587,38,478.0,1
127830,19,114.0,8
183838,27,52.0,5
21394,56,68.0,7
42312,16,266.0,7
30911,42,98.0,5
42991,48,138.0,9
61507,38,159.0,6
25454,52,155.0,1
184457,46,244.0,1
113290,58,291.0,2
174362,16,117.0,4
159549,18,366.0,1
173061,47,60.0,4
59529,28,196.0,6
66191,22,332.0,7
107455,22,226.0,1
135090,58,43.0,8
111063,13,200.0,1
30312,27,176.0,4
44535,57,272.0,5
38213,59,147.0,9
38276,49,43.0,6
33551,17,32.0,9
81105,52,241.0,6
181706,18,301.0,9
182055,58,218.0,7
145607,26,217.0,9
159633,32,299.0,7
33687,57,273.0,3
41384,37,227.0,4
152662,16,263.0,7
67847,50,148.0,3
92450,35,368.0,6
125162,47,187.0,8
140768,43,160.0,5
195162,19,154.0,7
88991,21,206.0,9
188087,44,160.0,3
187551,24,80.0,6
48264,27,123.0,4
42061,50,171.0,1
4023,35,293.0,10
42227,54,103.0,4
139851,33,436.0,2
122176,29,124.0,8
12749,49,244.0,9
8330,24,287.0,4
171060,15,57.0,8
64778,42,85.0,10
114945,52,252.0,5
159213,29,90.0,7
13103,40,269.0,1
145690,25,216.0,10
163148,53,242.0,10
37288,63,81.0,7
136886,51,5.0,7
115172,59,111.0,2
55824,53,139.0,7
58509,53,157.0,3
86545,22,234.0,9
81029,39,90.0,8
67622,62,138.0,4
64646,58,82.0,3
189237,24,217.0,2
22118,31,425.0,2
90429,13,216.0,8
191692,20,437.0,1
6042,52,132.0,5
49099,38,246.0,8
107437,22,299.0,10
52934,40,356.0,3
102890,65,266.0,9
6131,15,11.0,8
129139,59,275.0,9
69575,52,87.0,8
86651,62,266.0,2
158404,41,298.0,5
115677,14,94.0,8
175379,35,270.0,4
45084,20,303.0,1
103119,44,346.0,1
128965,47,354.0,3
22995,65,18.0,4
91485,40,27.0,6
7058,53,259.0,5
174983,38,210.0,6
95237,44,168.0,5
19176,44,272.0,1
117192,24,139.0,2
43854,13,172.0,1
47667,25,154.0,2
61223,17,126.0,3
95063,56,43.0,10
143076,18,209.0,10
183245,36,354.0,4
877,40,318.0,6
169645,17,128.0,7
34977,27,398.0,4
68838,39,35.0,10
76189,49,184.0,6
70475,26,305.0,3
41513,42,165.0,10
23154,33,311.0,2
166871,44,218.0,5
13971,15,232.0,7
174618,13,348.0,3
162529,46,236.0,5
172575,46,191.0,1
87419,36,120.0,3
90833,39,151.0,4
73602,44,305.0,2
81954,34,236.0,8
101060,14,208.0,3
122012,34,337.0,4
60111,27,5.0,8
90720,54,122.0,1
119802,65,202.0,1
180798,62,364.0,1
62490,29,289.0,5
187189,63,230.0,5
180700,20,387.0,3
99354,38,105.0,8
12765,21,425.0,7
68244,50,39.0,8
186235,56,326.0,2
37600,35,248.0,1
49917,52,163.0,3
71034,54,282.0,6
132880,61,72.0,8
96996,35,298.0,1
55227,23,89.0,2
30229,55,269.0,10
167832,22,374.0,2
49951,57,209.0,5
39957,41,284.0,5
49805,19,148.0,4
97064,34,96.0,6
188332,65,18.0,7
80186,14,196.0,10
162846,33,138.0,8
32239,40,353.0,1
30651,59,47.0,9
17715,52,152.0,5
5784,36,116.0,7
80844,48,241.0,2
172456,40,77.0,4
185765,62,89.0,8
12539,17,156.0,8
183137,40,55.0,8
105089,58,5.0,10
43533,46,327.0,9
163826,35,257.0,5
11594,47,139.0,1
11074,36,170.0,9
139939,50,25.0,2
173970,20,174.0,1
189793,23,172.0,1
127305,44,254.0,10
82380,33,215.0,2
172556,22,251.0,5
7647,17,375.0,1
46481,61,61.0,7
30899,29,177.0,3
150009,51,33.0,4
76142,34,316.0,3
105552,44,209.0,8
99887,18,211.0,10
53311,58,109.0,10
135767,34,207.0,1
121831,27,338.0,1
71518,46,317.0,2
75352,49,96.0,4
54036,65,222.0,8
184213,54,283.0,9
29223,37,298.0,3
33732,56,153.0,2
98904,47,348.0,3
151798,52,109.0,3
92428,56,108.0,1
76462,47,174.0,8
487,54,219.0,2
187410,62,315.0,3
63836,39,247.0,2
44300,46,5.0,9
28706,15,271.0,5
3966,50,52.0,7
66175,50,243.0,3
11483,64,5.0,8
4682,37,246.0,4
145563,51,289.0,7
147929,55,318.0,2
88237,13,229.0,3
150760,46,263.0,8
53418,48,121.0,4
27398,14,207.0,1
5063,60,191.0,5
21052,18,423.0,3
145229,28,216.0,7
94100,61,97.0,8
114182,57,179.0,1
149656,15,399.0,1
52646,21,189.0,2
181804,56,156.0,10
79229,61,309.0,3
13969,13,233.0,5
164745,31,91.0,8
143439,27,321.0,10
58645,43,111.0,5
174078,46,89.0,6
190706,63,168.0,5
152437,45,173.0,5
170906,53,155.0,10
84978,49,234.0,5
77546,58,184.0,5
123806,18,111.0,10
17676,26,224.0,3
110837,17,337.0,3
88071,32,428.0,2
133482,43,114.0,1
160915,35,285.0,6
113161,22,258.0,3
96380,36,210.0,1
34698,26,184.0,4
13840,17,259.0,7
10608,61,61.0,2
153641,48,51.0,8
140847,21,379.0,3
148379,22,390.0,4
132072,19,62.0,9
99504,59,6.0,6
99707,54,92.0,10
41007,20,165.0,9
52375,42,120.0,5
140782,42,179.0,10
199321,47,202.0,5
170031,13,257.0,8
164232,29,259.0,4
168094,17,351.0,5
193766,20,221.0,9
66585,62,10.0,1
76934,16,236.0,2
172143,55,5.0,7
79540,51,153.0,4
162093,26,229.0,3
13489,49,125.0,7
111690,30,231.0,6
153011,49,234.0,3
36327,59,10.0,2
177099,14,229.0,9
193776,45,5.0,10
56246,46,362.0,2
151412,58,118.0,9
127982,22,351.0,5
125453,28,292.0,9
51824,46,228.0,8
65905,13,197.0,8
190328,51,130.0,4
140826,56,123.0,2
47331,53,256.0,7
31170,57,221.0,8
57700,40,240.0,4
59775,42,209.0,5
8278,48,205.0,5
76987,64,258.0,9
77943,33,167.0,8
37372,36,180.0,5
45919,47,392.0,3
79349,36,220.0,8
127884,36,296.0,3
142859,40,286.0,8
1081,21,194.0,8
101506,61,268.0,3
104160,16,342.0,2
108188,50,211.0,1
75658,64,159.0,3
50478,64,24.0,7
34670,61,239.0,9
170870,64,225.0,3
94137,28,239.0,1
58988,49,18.0,9
35992,14,291.0,9
195935,21,119.0,8
136773,59,72.0,6
154739,46,5.0,8
111757,59,256.0,2
98908,22,312.0,4
167769,20,159.0,1
18518,38,252.0,4
91924,16,280.0,1
133625,29,156.0,8
36024,52,45.0,5
165281,43,189.0,9
70855,58,125.0,3
115424,28,377.0,3
6863,56,239.0,6
138556,30,179.0,8
163050,61,153.0,1
161477,24,72.0,6
42925,40,115.0,5
28303,64,5.0,7
49990,53,161.0,4
17885,34,129.0,4
101197,37,155.0,6
189830,20,255.0,6
122808,23,123.0,2
81246,32,57.0,3
83073,50,58.0,8
51036,23,127.0,6
145882,44,212.0,2
124262,32,23.0,3
155762,56,66.0,3
14747,37,350.0,1
34058,26,460.0,1
46635,49,73.0,5
57676,31,222.0,3
78626,45,5.0,7
125383,49,131.0,8
139993,64,355.0,2
163296,31,110.0,2
24116,16,309.0,8
23459,61,229.0,4
26816,35,268.0,7
33335,45,60.0,7
60458,19,395.0,4
96058,18,299.0,7
60177,19,5.0,9
3132,58,5.0,8
40832,34,197.0,3
134844,57,271.0,8
55173,25,215.0,3
183750,47,313.0,5
197121,56,5.0,9
150909,14,215.0,9
86549,60,125.0,9
26896,44,369.0,2
65744,26,168.0,2
18487,13,120.0,7
29678,50,154.0,5
129088,45,53.0,5
27333,18,475.0,1
144335,24,36.0,10
44013,28,36.0,9
61417,57,96.0,3
79932,26,5.0,9
50981,49,13.0,5
105240,36,149.0,6
99547,28,222.0,8
153216,30,335.0,1
115690,24,153.0,5
194349,52,168.0,10
176996,44,292.0,1
89087,32,177.0,2
190743,20,382.0,3
106662,36,111.0,8
55563,48,120.0,1
26295,20,124.0,3
196150,39,5.0,5
106691,24,286.0,10
51411,27,293.0,1
137056,28,162.0,7
170183,47,194.0,10
104256,21,312.0,1
137821,45,161.0,1
152373,37,404.0,1
23888,59,198.0,9
107037,55,186.0,5
37981,30,356.0,6
142283,37,53.0,7
15951,25,85.0,6
48815,45,158.0,4
157288,38,162.0,8
45071,53,389.0,2
85816,32,131.0,10
93642,18,267.0,8
90534,48,141.0,9
119911,51,110.0,3
129797,53,5.0,9
120787,36,222.0,2
72821,15,379.0,9
192639,60,47.0,3
87194,14,148.0,8
17874,27,211.0,8
104254,24,308.0,7
24961,17,111.0,9
86685,27,5.0,10
30292,20,16.0,9
168319,49,185.0,3
64542,20,5.0,10
27093,54,135.0,3
26764,21,117.0,10
184061,64,199.0,1
151916,32,354.0,3
63900,45,212.0,9
120363,50,97.0,2
194190,20,120.0,7
133738,30,339.0,1
23894,17,173.0,5
139261,62,138.0,4
93693,18,365.0,5
106494,58,344.0,3
110757,62,21.0,9
66979,49,135.0,5
90573,27,394.0,1
146799,46,5.0,9
97574,43,270.0,9
13693,36,398.0,2
173278,41,77.0,7
22115,24,234.0,4
195564,36,78.0,3
169790,41,246.0,1
26297,32,344.0,2
48921,16,152.0,8
23852,51,371.0,1
36887,16,392.0,3
17722,33,193.0,7
196017,44,183.0,10
116232,57,179.0,7
45546,60,373.0,4
12777,30,166.0,3
32211,21,167.0,10
88875,17,96.0,7
188930,59,255.0,5
153826,59,203.0,7
193257,26,154.0,10
184386,35,235.0,7
191691,59,98.0,1
48339,24,5.0,8
23166,23,86.0,10
16867,18,72.0,9
155461,52,151.0,2
97448,50,353.0,6
16591,26,248.0,1
174923,39,12.0,8
80253,31,430.0,1
72437,18,154.0,7
70705,34,271.0,7
164516,53,25.0,9
148537,24,283.0,2
181101,39,308.0,8
119061,25,170.0,1
76299,37,33.0,7
991,29,128.0,10
85547,41,281.0,2
136561,27,99.0,5
91776,28,369.0,4
90248,19,151.0,5
50766,14,322.0,8
62886,49,313.0,5
175169,15,240.0,4
100150,33,382.0,4
169271,29,191.0,5
2892,38,206.0,6
153209,63,227.0,1
70900,22,107.0,2
172041,55,160.0,8
178181,15,158.0,4
33130,45,145.0,9
65110,46,290.0,7
105873,24,173.0,7
23792,60,108.0,4
159076,60,281.0,1
7613,44,195.0,3
143844,41,26.0,10
143402,13,477.0,2
64756,63,117.0,2
17069,37,293.0,10
162646,52,144.0,9
102537,23,162.0,6
91023,19,113.0,10
94182,39,113.0,4
39025,58,201.0,6
3493,24,309.0,1
136817,65,97.0,2
46862,56,121.0,5
35181,47,237.0,7
66763,37,131.0,1
173565,63,209.0,2
148825,50,167.0,6
115289,54,268.0,2
71202,51,321.0,7
155086,26,337.0,2
30253,17,288.0,8
15457,19,5.0,9
103413,30,252.0,5
111730,52,313.0,2
9299,36,105.0,10
49228,36,329.0,6
47409,17,229.0,2
152721,17,11.0,10
177167,46,275.0,8
149724,56,99.0,7
160456,21,212.0,10
146988,63,196.0,8
169179,29,184.0,5
190141,24,400.0,1
17120,55,31.0,8
20942,27,192.0,2
40058,23,304.0,8
124575,61,39.0,8
164608,20,467.0,3
118970,15,264.0,2
134341,41,115.0,2
174263,36,195.0,7
85724,61,309.0,2
197269,64,201.0,4
141403,44,155.0,6
26316,15,184.0,7
30985,53,161.0,1
107984,39,345.0,2
169257,44,35.0,5
112774,54,29.0,6
5202,34,164.0,10
112972,16,99.0,7
73921,31,325.0,6
105889,60,51.0,9
100151,64,239.0,8
141384,32,112.0,1
18642,53,156.0,3
159826,62,305.0,1
4206,57,56.0,9
176203,57,207.0,10
123224,55,23.0,8
137828,63,67.0,6
23966,28,288.0,7
133279,20,5.0,6
132258,34,157.0,3
22825,20,353.0,2
131989,63,86.0,10
78340,61,286.0,4
175548,39,55.0,6
153417,22,214.0,1
81048,14,24.0,5
192502,41,365.0,3
179302,25,208.0,8
21262,56,181.0,3
18828,51,126.0,10
104576,46,71.0,9
134409,29,79.0,2
189890,17,5.0,9
131520,62,5.0,9
178880,58,134.0,3
133619,32,444.0,1
79422,30,463.0,1
94488,50,188.0,3
125743,23,319.0,6
23342,59,143.0,4
186782,61,79.0,1
192865,61,185.0,5
100594,16,383.0,1
20410,54,96.0,3
123719,38,52.0,9
88101,17,163.0,1
172547,59,5.0,9
138022,61,18.0,7
35728,24,5.0,9
71254,65,11.0,7
80094,28,102.0,6
81396,56,230.0,2
65491,54,5.0,8
145837,22,259.0,3
55308,15,273.0,10
76659,49,288.0,9
6263,29,203.0,6
79587,55,126.0,1
87128,41,129.0,3
104603,29,69.0,4
76102,32,327.0,6
49009,20,104.0,6
103613,37,168.0,6
106120,16,149.0,6
82976,13,315.0,3
97886,33,88.0,5
179607,14,132.0,2
85109,51,5.0,9
164606,30,277.0,8
126131,33,232.0,5
187429,39,281.0,3
160986,60,136.0,4
182809,40,111.0,7
138754,55,200.0,4
122947,41,5.0,10
58932,22,226.0,1
136637,48,7.0,10
8006,35,128.0,9
198025,42,418.0,4
165633,38,240.0,6
3184,26,251.0,10
173714,36,97.0,5
160764,55,113.0,3
120282,55,21.0,8
4039,16,43.0,9
177276,56,295.0,3
5565,47,149.0,4
157863,25,207.0,7
117879,65,5.0,10
56460,54,188.0,6
41851,16,210.0,9
145033,58,110.0,8
29046,30,364.0,5
96390,49,52.0,7
190177,16,272.0,5
150935,40,325.0,7
7274,59,143.0,3
89343,17,331.0,3
591,63,277.0,2
122723,41,5.0,7
161234,46,146.0,2
195231,51,336.0,4
37846,36,303.0,5
181091,39,127.0,7
58725,13,96.0,9
131310,46,289.0,1
23544,19,193.0,8
145260,50,60.0,5
68038,65,70.0,6
49011,30,227.0,4
97709,42,201.0,7
195216,60,5.0,10
164960,49,147.0,1
109604,21,183.0,3
186863,59,120.0,9
53979,40,142.0,10
26248,22,290.0,5
155012,32,221.0,7
105888,32,229.0,10
185733,25,204.0,5
22597,40,288.0,4
178034,62,394.0,2
7187,35,47.0,6
105787,21,156.0,7
21993,54,285.0,6
141342,20,104.0,10
176988,50,358.0,1
70374,28,76.0,4
72353,34,339.0,3
125378,30,221.0,5
85244,19,320.0,1
131075,47,233.0,8
35243,63,86.0,2
18428,26,172.0,6
30446,32,131.0,8
1867,57,130.0,9
48877,50,326.0,4
56400,19,175.0,7
64948,61,197.0,6
142428,44,235.0,1
123194,34,295.0,4
189704,42,240.0,5
43357,41,251.0,10
47874,17,445.0,2
48279,32,232.0,4
182548,47,301.0,8
86026,56,185.0,9
12202,64,290.0,2
179161,56,189.0,3
92845,20,268.0,7
6420,60,136.0,5
48909,39,343.0,3
58499,37,244.0,3
188222,26,165.0,2
24527,60,342.0,1
474,16,204.0,6
168516,34,222.0,6
191212,44,212.0,6
52598,26,103.0,8
178795,14,290.0,3
8164,54,196.0,7
173844,25,164.0,6
141252,30,381.0,3
91330,23,15.0,5
149883,16,137.0,2
115545,61,39.0,8
99953,16,284.0,9
38036,54,5.0,8
178486,13,223.0,3
145050,61,196.0,1
168898,46,71.0,5
116793,54,203.0,4
197161,57,56.0,8
170546,20,96.0,5
84952,22,30.0,9
22683,58,70.0,10
167362,21,291.0,1
133547,48,215.0,5
149776,30,222.0,3
188362,22,18.0,10
151870,53,249.0,9
77011,16,93.0,3
162157,23,176.0,9
90948,36,356.0,2
34601,24,158.0,6
114542,39,80.0,5
183619,65,152.0,4
5156,28,5.0,8
41492,65,104.0,5
155572,61,249.0,7
118982,60,192.0,5
63998,57,5.0,10
8855,47,94.0,10
120312,14,472.0,4
159001,56,299.0,6
8041,33,386.0,1
70778,55,338.0,1
193874,17,223.0,10
127973,37,121.0,8
164561,47,30.0,3
63411,48,338.0,2
96180,35,100.0,6
56783,27,10.0,9
139504,18,206.0,9
34315,34,52.0,5
86715,27,123.0,2
145264,54,221.0,4
20581,48,80.0,10
195736,30,388.0,3
35128,29,201.0,7
75445,53,136.0,2
133335,29,248.0,9
66873,47,145.0,10
182056,57,214.0,4
151744,62,39.0,9
61784,29,366.0,2
173869,57,114.0,10
163428,25,273.0,7
63386,62,5.0,9
166780,16,238.0,10
128710,50,157.0,8
164740,29,171.0,1
35500,58,80.0,7
92185,24,355.0,7
181652,38,16.0,10
137960,21,15.0,10
196640,47,5.0,10
62546,53,210.0,4
91594,14,106.0,5
143517,44,98.0,5
169363,34,409.0,1
180052,65,36.0,3
16769,51,170.0,1
71001,17,354.0,1
195975,63,237.0,3
84724,45,138.0,3
104138,49,320.0,4
111876,19,126.0,2
44698,23,5.0,10
63725,34,238.0,10
125634,42,52.0,3
150530,63,212.0,7
173255,23,205.0,1
89425,38,153.0,8
50949,25,300.0,9
91040,35,5.0,10
41599,54,5.0,7
179102,51,82.0,3
58252,54,171.0,8
3561,29,18.0,5
14400,56,5.0,10
18799,43,237.0,2
167929,28,379.0,2
172224,41,115.0,9
4054,52,250.0,3
179851,17,342.0,6
109539,13,58.0,9
494,49,399.0,4
81248,32,265.0,2
97151,44,202.0,5
114603,21,374.0,2
36227,55,153.0,10
76157,56,303.0,1
12948,16,5.0,9
73081,44,133.0,10
76502,28,347.0,6
8283,20,209.0,6
103046,17,285.0,3
94409,38,91.0,9
170704,20,409.0,6
109084,49,50.0,8
162901,56,317.0,1
90576,19,86.0,5
188778,46,198.0,6
100157,61,151.0,10
140280,31,174.0,3
76421,16,211.0,6
49219,55,5.0,8
54354,31,382.0,2
124179,50,77.0,6
88142,25,48.0,9
58791,32,338.0,1
160609,24,307.0,5
52306,24,49.0,10
138229,26,217.0,9
45970,27,391.0,3
69167,46,14.0,7
107123,64,131.0,6
144243,28,174.0,8
80727,37,324.0,2
168615,43,327.0,4
142836,64,336.0,5
43453,65,5.0,9
145423,65,261.0,7
86086,38,303.0,4
60429,51,5.0,6
190742,62,89.0,5
7977,38,202.0,6
47507,36,190.0,2
72477,43,9.0,10
43277,49,102.0,5
104679,41,202.0,8
105572,58,18.0,5
66116,37,226.0,1
42633,36,304.0,8
30278,14,250.0,8
58835,30,56.0,6
6640,43,160.0,2
50413,51,63.0,5
115956,29,94.0,3
68430,45,175.0,9
38182,18,152.0,2
187630,57,197.0,2
146797,41,256.0,2
107730,41,292.0,1
27778,48,221.0,8
93157,27,57.0,9
194154,21,291.0,5
168857,32,82.0,1
17797,54,86.0,2
64315,29,59.0,2
99045,60,208.0,1
32181,22,424.0,1
128361,20,205.0,7
28048,22,139.0,4
73848,16,263.0,7
172353,24,5.0,9
128350,55,259.0,1
198436,48,162.0,6
189974,23,305.0,1
90701,60,324.0,2
49707,55,265.0,1
164090,42,171.0,7
184231,18,126.0,7
81881,13,288.0,2
9625,45,110.0,4
6118,46,5.0,9
55778,46,103.0,8
110155,47,52.0,9
38975,24,282.0,3
67685,37,140.0,7
63076,29,165.0,2
169680,55,238.0,3
42461,64,117.0,5
74962,54,187.0,5
124254,40,13.0,5
162549,63,179.0,1
180668,63,294.0,3
132861,36,119.0,6
173420,50,250.0,7
183180,28,259.0,8
141709,54,432.0,1
138655,13,186.0,7
27570,46,334.0,2
7514,33,5.0,10
148770,41,204.0,7
96722,36,122.0,10
55203,28,281.0,1
85745,19,191.0,5
135639,30,257.0,1
35058,23,224.0,2
117386,39,473.0,2
87544,40,42.0,10
178306,14,18.0,9
146583,48,86.0,7
24914,19,317.0,5
146594,63,264.0,4
88635,59,128.0,9
183957,37,114.0,6
46195,23,242.0,5
14988,24,79.0,5
49413,65,151.0,3
138382,37,93.0,6
39730,59,116.0,2
115187,36,301.0,2
190529,18,68.0,8
59892,33,137.0,6
47382,22,262.0,1
163858,53,148.0,10
24449,35,89.0,6
49151,50,82.0,7
111182,22,333.0,9
43488,49,349.0,2
66834,25,174.0,2
143656,17,21.0,10
199550,24,279.0,4
10719,23,314.0,2
129794,65,108.0,7
192059,16,5.0,10
27708,59,352.0,3
174111,41,205.0,1
90987,41,5.0,10
72833,15,118.0,5
5269,47,144.0,4
95422,45,98.0,2
87305,16,389.0,2
62694,54,5.0,1
30754,31,72.0,5
139175,36,121.0,3
117926,13,311.0,4
85541,27,175.0,5
154326,13,23.0,7
31926,39,253.0,4
8580,16,198.0,7
120454,57,233.0,5
31175,29,355.0,2
19771,61,183.0,5
126608,29,210.0,4
84976,48,274.0,4
168838,30,72.0,10
183140,40,5.0,10
68016,19,269.0,1
13082,56,5.0,6
142126,16,313.0,10
73908,60,283.0,5
4693,61,204.0,6
161681,42,355.0,10
151632,52,278.0,9
125875,62,73.0,7
157633,32,289.0,2
169720,17,274.0,10
180954,62,191.0,8
190035,37,334.0,6
124647,18,51.0,9
147446,54,160.0,8
154156,22,116.0,6
141456,14,273.0,6
49783,48,157.0,5
5226,22,329.0,2
38094,43,178.0,2
7930,25,163.0,4
165492,65,268.0,5
137285,53,415.0,1
4218,14,80.0,6
27439,40,252.0,8
190971,64,160.0,3
56213,28,157.0,4
6925,40,321.0,1
135883,28,142.0,9
188676,28,130.0,1
84198,32,315.0,2
60120,61,128.0,10
49254,50,272.0,6
151452,59,152.0,5
48253,56,131.0,6
118028,15,428.0,3
8298,32,335.0,4
100743,23,277.0,7
43529,58,95.0,8
174739,19,414.0,1
152379,37,110.0,10
171133,36,99.0,6
132519,64,131.0,1
149531,25,199.0,1
157757,63,18.0,9
24743,38,344.0,8
18989,48,50.0,6
64737,20,244.0,6
56146,46,277.0,1
133656,57,125.0,3
139501,57,62.0,7
17828,34,216.0,4
12774,37,243.0,1
39253,34,76.0,3
95936,25,39.0,9
102911,44,181.0,7
169085,29,140.0,5
56141,42,105.0,8
150269,36,243.0,1
105278,36,174.0,1
48207,54,197.0,2
193556,64,270.0,4
119082,41,371.0,3
185124,29,274.0,5
82474,62,61.0,8
116848,53,14.0,10
199532,22,220.0,5
80316,28,169.0,3
4655,40,141.0,7
29719,37,226.0,7
180484,24,175.0,3
194406,57,401.0,1
136334,43,128.0,7
7689,13,425.0,2
40586,37,113.0,8
123372,31,237.0,7
130387,57,78.0,4
182227,53,327.0,6
75457,52,5.0,8
94857,46,306.0,4
135598,29,57.0,8
103647,50,291.0,5
52890,54,105.0,6
120855,40,134.0,8
192150,23,228.0,8
71414,18,192.0,5
153211,64,9.0,9
8632,28,389.0,2
128945,51,121.0,5
101267,34,274.0,3
182739,60,248.0,7
195232,56,203.0,5
115084,32,325.0,1
54079,17,105.0,7
191442,19,391.0,5
14829,25,150.0,7
26315,40,100.0,4
189785,50,205.0,8
128349,33,70.0,6
37457,18,34.0,6
138971,60,340.0,4
104451,60,109.0,7
120743,29,307.0,4
4908,47,332.0,5
114305,27,113.0,8
34718,41,157.0,2
12916,19,101.0,3
70213,31,210.0,8
133211,40,41.0,8
166223,26,180.0,7
167731,44,51.0,3
78162,49,193.0,7
82402,31,241.0,6
114043,58,117.0,9
115122,23,295.0,7
138342,24,81.0,5
89826,23,77.0,8
105122,42,260.0,1
1566,63,220.0,1
107606,59,222.0,6
56415,14,51.0,9
189690,37,282.0,3
71524,65,337.0,1
80650,32,181.0,6
22333,40,5.0,7
141891,44,168.0,4
11613,45,68.0,8
22000,47,350.0,3
33014,47,113.0,9
167790,37,75.0,9
139769,25,389.0,4
94369,37,378.0,1
51052,22,414.0,4
175372,32,150.0,6
110798,33,186.0,6
20684,30,270.0,7
18685,43,176.0,10
126230,39,271.0,8
10712,14,128.0,1
158668,36,350.0,1
136150,58,266.0,2
137140,63,320.0,4
10996,51,204.0,7
90527,46,75.0,2
72583,34,24.0,10
147727,55,176.0,4
3431,54,170.0,6
51393,60,133.0,10
11097,27,120.0,10
94408,65,238.0,9
94039,33,121.0,10
